species,treatment,tank_rep,genotype,fragment,zoox_SA,protein_ugSA,zoox_protein_SA,tank_rep_rand
plut,Pellets,2,2,41,2269526.07,497.9832794,4557.434283,Pellets_2
plut,Pellets,2,5,30,2218614.021,845.2247639,2624.880524,Pellets_2
plut,Pellets,3,4,57,2929889.901,795.4783081,3683.180133,Pellets_3
plut,Pellets,3,3,31,3067593.077,552.597119,5551.228864,Pellets_3
plut,Pellets,4,3,41,3490823.42,671.7386929,5196.698445,Pellets_4
plut,Pellets,4,5,41,2352172.566,879.3748358,2674.823603,Pellets_4
plut,Dissolved,1,3,38,2660993.674,546.0818582,4872.884228,Dissolved_1
plut,Dissolved,1,5,12,1786882.057,673.8925336,2651.583105,Dissolved_1
plut,Dissolved,2,1,17,2259084.847,1546.307368,1460.95459,Dissolved_2
plut,Dissolved,2,5,7,2423999.425,924.9765741,2620.606287,Dissolved_2
plut,Dissolved,3,5,29,2168833.19,702.0972904,3089.077852,Dissolved_3
plut,Dissolved,3,3,44,3185288.857,493.5541196,6453.778281,Dissolved_3
plut,Dissolved,4,2,21,1163768.448,387.3215722,3004.656934,Dissolved_4
plut,Dissolved,4,3,37,3225058.15,558.727265,5772.151016,Dissolved_4
plut,Field,1,1,3,2256939.611,3134.744776,719.9755555,Field_1
plut,Field,1,1,7,2305087.927,3300.921412,698.3165119,Field_1
plut,Field,1,2,3,1059326.946,480.9260654,2202.681498,Field_1
plut,Field,1,2,10,1263138.456,605.9145193,2084.680951,Field_1
plut,Field,1,3,3,1203440.976,506.0213506,2378.241501,Field_1
plut,Field,1,3,4,1050661.935,549.3035735,1912.716365,Field_1
plut,Field,1,4,5,1054571.047,723.7877629,1457.016961,Field_1
plut,Field,1,4,7,2616327.719,2480.446971,1054.780751,Field_1
plut,Field,1,5,7,2173170.777,935.2781801,2323.555518,Field_1
plut,Field,1,5,10,2037127.607,1022.461681,1992.375503,Field_1
plut,SeaSim,1,1,1,1653227.688,2138.768853,772.9810002,SeaSim_1
plut,SeaSim,1,1,6,1656044.567,1773.424495,933.8117141,SeaSim_1
plut,SeaSim,1,2,5,1818667.37,547.2872296,3323.058298,SeaSim_1
plut,SeaSim,1,2,10,1106692.865,478.1477517,2314.541606,SeaSim_1
plut,SeaSim,1,3,1,2740211.117,748.2848792,3661.989161,SeaSim_1
plut,SeaSim,1,3,2,1974761.254,471.6218664,4187.170687,SeaSim_1
plut,SeaSim,1,4,1,2367501.083,1443.342324,1640.290763,SeaSim_1
plut,SeaSim,1,4,9,2352213.072,1504.028799,1563.94151,SeaSim_1
plut,SeaSim,1,5,4,1993757.448,917.9146511,2172.051013,SeaSim_1
plut,SeaSim,1,5,7,1953009.502,802.5398017,2433.536003,SeaSim_1
