species,treatment,replicate,row,column,sp_rep,genotype,fragment,month,bw_raw,bw_initial_raw
pdae,dissolved,4,D,4,7,1,53,0,11.018,11.018
pdae,dissolved,4,C,4,5,2,43,0,7.589,7.589
pdae,dissolved,4,E,10,10,2,51,0,11.164,11.164
pdae,dissolved,4,B,1,4,3,32,0,8.755,8.755
pdae,dissolved,4,A,7,3,3,43,0,14.55,14.55
pdae,dissolved,4,C,10,6,4,9,0,8.03,8.03
pdae,dissolved,4,A,5,2,4,10,0,14.517,14.517
pdae,dissolved,4,E,3,9,5,25,0,6.288,6.288
pdae,dissolved,4,D,10,8,5,27,0,7.512,7.512
pdae,fish,1,D,10,8,1,15,0,12.037,12.037
pdae,fish,1,E,3,9,1,43,0,5.231,5.231
pdae,fish,1,E,10,10,2,20,0,8.987,8.987
pdae,fish,1,C,10,6,2,40,0,10.519,10.519
pdae,fish,1,C,4,5,3,29,0,8.825,8.825
pdae,fish,1,D,4,7,4,40,0,13.987,13.987
pdae,fish,1,A,1,1,4,46,0,7.13,7.13
pdae,fish,1,A,7,3,5,38,0,9.08,9.08
pdae,fish,1,A,5,2,5,46,0,7.901,7.901
pdae,fish,1,B,1,4,5,47,0,7.858,7.858
pdae,fish,2,C,10,6,1,5,0,6.144,6.144
pdae,fish,2,C,4,5,1,6,0,9.974,9.974
pdae,fish,2,E,10,10,2,21,0,12.092,12.092
pdae,fish,2,D,4,7,2,24,0,9.411,9.411
pdae,fish,2,D,10,8,3,28,0,11.488,11.488
pdae,fish,2,E,3,9,3,42,0,8.059,8.059
pdae,fish,2,A,1,1,4,22,0,8.488,8.488
pdae,fish,2,A,7,3,4,29,0,12.93,12.93
pdae,fish,2,A,5,2,5,33,0,7.931,7.931
pdae,fish,2,B,1,4,5,52,0,11.868,11.868
pdae,fish,3,D,10,8,1,3,0,10.77,10.77
pdae,fish,3,C,10,6,1,19,0,6.942,6.942
pdae,fish,3,E,10,10,2,26,0,13.07,13.07
pdae,fish,3,C,4,5,2,35,0,7.977,7.977
pdae,fish,3,A,7,3,3,17,0,10.228,10.228
pdae,fish,3,D,4,7,3,40,0,16.821,16.821
pdae,fish,3,A,5,2,4,5,0,8.347,8.347
pdae,fish,3,B,1,4,4,43,0,15.573,15.573
pdae,fish,3,A,1,1,5,28,0,7.337,7.337
pdae,fish,3,E,3,9,5,44,0,8.286,8.286
pdae,fish,4,C,10,6,1,31,0,7.502,7.502
pdae,fish,4,D,10,8,1,38,0,8.883,8.883
pdae,fish,4,E,3,9,2,2,0,9.19,9.19
pdae,fish,4,A,5,2,2,22,0,10.614,10.614
pdae,fish,4,A,7,3,3,4,0,11.513,11.513
pdae,fish,4,E,10,10,3,39,0,18.356,18.356
pdae,fish,4,A,1,1,4,1,0,14.149,14.149
pdae,fish,4,D,4,7,4,45,0,9.761,9.761
pdae,fish,4,C,4,5,5,39,0,7.08,7.08
pdae,fish,4,B,1,4,5,43,0,9.681,9.681
pdae,livefeeds,1,B,1,4,1,42,0,9.018,9.018
pdae,livefeeds,1,D,10,8,1,46,0,10.162,10.162
pdae,livefeeds,1,E,10,10,2,10,0,8.376,8.376
pdae,livefeeds,1,A,1,1,2,19,0,8.793,8.793
pdae,livefeeds,1,E,3,9,3,13,0,8.995,8.995
pdae,livefeeds,1,C,10,6,3,34,0,6.875,6.875
pdae,livefeeds,1,C,4,5,4,8,0,7.261,7.261
pdae,livefeeds,1,D,4,7,4,17,0,11.101,11.101
pdae,livefeeds,1,A,7,3,5,24,0,7.383,7.383
pdae,livefeeds,1,A,5,2,5,35,0,7.508,7.508
pdae,livefeeds,2,E,10,10,1,22,0,13.701,13.701
pdae,livefeeds,2,C,10,6,1,24,0,7.841,7.841
pdae,livefeeds,2,D,10,8,2,27,0,8.158,8.158
pdae,livefeeds,2,A,1,1,2,41,0,14.302,14.302
pdae,livefeeds,2,E,3,9,3,22,0,14.586,14.586
pdae,livefeeds,2,C,4,5,3,45,0,8.961,8.961
pdae,livefeeds,2,D,4,7,4,27,0,11.244,11.244
pdae,livefeeds,2,B,1,4,4,41,0,11.923,11.923
pdae,livefeeds,2,A,5,2,5,13,0,7.828,7.828
pdae,livefeeds,2,A,7,3,5,22,0,6.813,6.813
pdae,livefeeds,3,C,10,6,1,9,0,8.812,8.812
pdae,livefeeds,3,D,10,8,1,52,0,9.724,9.724
pdae,livefeeds,3,C,4,5,2,18,0,12.951,12.951
pdae,livefeeds,3,B,1,4,2,39,0,9.537,9.537
pdae,livefeeds,3,A,5,2,3,12,0,9.845,9.845
pdae,livefeeds,3,E,10,10,3,30,0,6.387,6.387
pdae,livefeeds,3,D,4,7,4,24,0,12.829,12.829
pdae,livefeeds,3,A,1,1,4,36,0,12.313,12.313
pdae,livefeeds,3,A,7,3,5,9,0,8.794,8.794
pdae,livefeeds,3,E,3,9,5,14,0,10.367,10.367
pdae,livefeeds,4,A,7,3,1,18,0,9.248,9.248
pdae,livefeeds,4,E,10,10,1,30,0,11.211,11.211
pdae,livefeeds,4,E,3,9,2,5,0,7.848,7.848
pdae,livefeeds,4,C,10,6,2,42,0,12.479,12.479
pdae,livefeeds,4,C,4,5,3,10,0,9.831,9.831
pdae,livefeeds,4,D,4,7,3,46,0,15.067,15.067
pdae,livefeeds,4,D,10,8,4,13,0,9.961,9.961
pdae,livefeeds,4,A,1,1,4,38,0,9.15,9.15
pdae,livefeeds,4,A,5,2,5,41,0,9.097,9.097
pdae,livefeeds,4,B,1,4,5,42,0,8.185,8.185
pdae,mix,1,A,7,3,1,23,0,9.703,9.703
pdae,mix,1,A,5,2,1,37,0,5.427,5.427
pdae,mix,1,A,1,1,2,14,0,12.304,12.304
pdae,mix,1,D,4,7,2,30,0,7.689,7.689
pdae,mix,1,D,10,8,2,37,0,6.486,6.486
pdae,mix,1,C,4,5,3,35,0,7.923,7.923
pdae,mix,1,E,10,10,4,20,0,15.479,15.479
pdae,mix,1,C,10,6,4,49,0,10.369,10.369
pdae,mix,1,B,1,4,5,48,0,7.149,7.149
pdae,mix,1,E,3,9,5,50,0,9.452,9.452
pdae,mix,2,C,10,6,1,11,0,6.346,6.346
pdae,mix,2,D,10,8,1,41,0,7.173,7.173
pdae,mix,2,A,7,3,2,44,0,10.07,10.07
pdae,mix,2,D,4,7,2,49,0,9.56,9.56
pdae,mix,2,C,4,5,3,3,0,9.811,9.811
pdae,mix,2,B,1,4,4,2,0,13.622,13.622
pdae,mix,2,A,1,1,4,6,0,8.062,8.062
pdae,mix,2,E,3,9,4,32,0,14.198,14.198
pdae,mix,2,E,10,10,5,36,0,12.761,12.761
pdae,mix,2,A,5,2,5,37,0,8.062,8.062
pdae,mix,3,D,10,8,1,2,0,8.689,8.689
pdae,mix,3,A,5,2,1,26,0,9.911,9.911
pdae,mix,3,C,4,5,2,6,0,11.901,11.901
pdae,mix,3,D,4,7,2,50,0,11.613,11.613
pdae,mix,3,B,1,4,3,36,0,8.092,8.092
pdae,mix,3,E,3,9,3,47,0,9.793,9.793
pdae,mix,3,A,1,1,4,18,0,12.39,12.39
pdae,mix,3,A,7,3,4,23,0,12.621,12.621
pdae,mix,3,C,10,6,5,17,0,8.726,8.726
pdae,mix,3,E,10,10,5,51,0,11.374,11.374
pdae,mix,4,E,3,9,1,12,0,8.361,8.361
pdae,mix,4,D,4,7,1,21,0,9.881,9.881
pdae,mix,4,D,10,8,2,33,0,7.101,7.101
pdae,mix,4,A,7,3,2,47,0,13.083,13.083
pdae,mix,4,A,1,1,3,5,0,14.083,14.083
pdae,mix,4,C,10,6,3,16,0,11.752,11.752
pdae,mix,4,C,4,5,4,28,0,11.295,11.295
pdae,mix,4,E,10,10,4,35,0,12.211,12.211
pdae,mix,4,B,1,4,5,6,0,11.87,11.87
pdae,mix,4,A,5,2,5,11,0,7.556,7.556
pdae,pellets,1,C,10,6,1,8,0,8.994,8.994
pdae,pellets,1,A,7,3,1,47,0,7.849,7.849
pdae,pellets,1,C,4,5,2,7,0,10.932,10.932
pdae,pellets,1,E,10,10,2,13,0,15.005,15.005
pdae,pellets,1,A,5,2,3,2,0,9.277,9.277
pdae,pellets,1,A,1,1,3,44,0,8.572,8.572
pdae,pellets,1,B,1,4,4,15,0,8.459,8.459
pdae,pellets,1,D,4,7,4,37,0,12.311,12.311
pdae,pellets,1,E,3,9,5,19,0,7.572,7.572
pdae,pellets,1,D,10,8,5,21,0,7.768,7.768
pdae,pellets,2,A,5,2,1,34,0,7.98,7.98
pdae,pellets,2,B,1,4,1,35,0,7.556,7.556
pdae,pellets,2,E,3,9,2,17,0,9.818,9.818
pdae,pellets,2,A,1,1,2,54,0,10.578,10.578
pdae,pellets,2,A,7,3,3,18,0,8.45,8.45
pdae,pellets,2,D,4,7,3,38,0,9.832,9.832
pdae,pellets,2,C,4,5,4,12,0,13.922,13.922
pdae,pellets,2,D,10,8,4,25,0,8.52,8.52
pdae,pellets,2,E,10,10,5,3,0,11.145,11.145
pdae,pellets,2,C,10,6,5,12,0,9.608,9.608
pdae,pellets,3,C,4,5,1,29,0,9.612,9.612
pdae,pellets,3,C,10,6,1,44,0,10.853,10.853
pdae,pellets,3,A,5,2,2,3,0,11.709,11.709
pdae,pellets,3,D,10,8,2,15,0,10.4,10.4
pdae,pellets,3,A,7,3,3,1,0,10.739,10.739
pdae,pellets,3,E,10,10,3,8,0,17.878,17.878
pdae,pellets,3,A,1,1,3,25,0,10.314,10.314
pdae,pellets,3,B,1,4,4,30,0,12.933,12.933
pdae,pellets,3,D,4,7,5,18,0,9.32,9.32
pdae,pellets,3,E,3,9,5,49,0,9.999,9.999
pdae,pellets,4,A,5,2,1,14,0,10.022,10.022
