treatment,replicate,row,column,species,sp_rep,genotype,fragment,surv_time,dead
livefeeds,3,D,4,pdae,7,4,24,92,0
livefeeds,3,D,10,pdae,8,1,52,92,0
livefeeds,3,E,3,pdae,9,5,14,92,0
livefeeds,3,E,10,pdae,10,3,30,92,0
livefeeds,4,A,1,pdae,1,4,38,92,0
livefeeds,4,A,5,pdae,2,5,41,92,0
livefeeds,4,A,7,pdae,3,1,18,92,0
livefeeds,4,B,1,pdae,4,5,42,92,0
livefeeds,4,C,4,pdae,5,3,10,92,0
livefeeds,4,C,10,pdae,6,2,42,92,0
livefeeds,4,D,4,pdae,7,3,46,92,0
livefeeds,4,D,10,pdae,8,4,13,92,0
livefeeds,4,E,3,pdae,9,2,5,92,0
livefeeds,4,E,10,pdae,10,1,30,92,0
mix,1,A,1,pdae,1,2,14,92,0
mix,1,A,5,pdae,2,1,37,92,0
mix,1,A,7,pdae,3,1,23,92,0
mix,1,B,1,pdae,4,5,48,92,0
mix,1,C,4,pdae,5,3,35,92,0
mix,1,C,10,pdae,6,4,49,92,0
mix,1,D,4,pdae,7,2,30,92,0
mix,1,D,10,pdae,8,2,37,92,0
mix,1,E,3,pdae,9,5,50,92,0
mix,1,E,10,pdae,10,4,20,92,0
mix,2,A,1,pdae,1,4,6,92,0
mix,2,A,5,pdae,2,5,37,92,0
mix,2,A,7,pdae,3,2,44,92,0
mix,2,B,1,pdae,4,4,2,92,0
mix,2,C,4,pdae,5,3,3,92,0
mix,2,C,10,pdae,6,1,11,92,0
mix,2,D,4,pdae,7,2,49,92,0
mix,2,D,10,pdae,8,1,41,92,0
mix,2,E,3,pdae,9,4,32,92,0
mix,2,E,10,pdae,10,5,36,92,0
mix,3,A,1,pdae,1,4,18,92,0
mix,3,A,5,pdae,2,1,26,92,0
mix,3,A,7,pdae,3,4,23,92,0
mix,3,B,1,pdae,4,3,36,92,0
mix,3,C,4,pdae,5,2,6,92,0
mix,3,C,10,pdae,6,5,17,92,0
mix,3,D,4,pdae,7,2,50,92,0
mix,3,D,10,pdae,8,1,2,92,0
mix,3,E,3,pdae,9,3,47,92,0
mix,3,E,10,pdae,10,5,51,92,0
mix,4,A,1,pdae,1,3,5,92,0
mix,4,A,5,pdae,2,5,11,92,0
mix,4,A,7,pdae,3,2,47,92,0
mix,4,B,1,pdae,4,5,6,92,0
mix,4,C,4,pdae,5,4,28,92,0
