Treatment,Tank,Sample,Day,NH4,NO2,NO3NO2,PO4,DOC
Mixed,2,1,30,0.38,0.05,1.8,0.2,2.75
Mixed,2,2,30,0.38,0.05,1.79,0.2,2.63
Mixed,3,1,30,0.39,0.06,1.76,0.19,1.69
Mixed,3,2,30,0.39,0.05,1.76,0.19,1.53
Mixed,4,1,30,0.39,0.05,1.74,0.19,1.61
Mixed,4,2,30,0.36,0.05,1.75,0.19,1.53
Pellets,1,1,30,0.15,0.05,1.65,0.19,1.92
Pellets,1,2,30,0.16,0.05,1.65,0.2,1.74
Pellets,2,1,30,0.18,0.06,1.61,0.2,1.81
Pellets,2,2,30,0.17,0.05,1.61,0.19,1.8
Pellets,3,1,30,0.13,0.05,1.51,0.19,1.49
Pellets,3,2,30,0.19,0.05,1.52,0.18,1.46
Pellets,4,1,30,0.22,0.06,1.57,0.18,10.54
Pellets,4,2,30,0.19,0.06,1.55,0.18,1.51
Dissolved_Coral,1,1,30,0.24,0.05,1.27,0.17,1.92
Dissolved_Coral,1,2,30,0.21,0.05,1.26,0.17,1.64
Dissolved_Coral,2,1,30,0.32,0.03,0.77,0.15,1.72
Dissolved_Coral,2,2,30,0.48,0.03,0.83,0.15,1.54
Dissolved_Coral,3,1,30,0.25,0.05,1.2,0.18,1.56
Dissolved_Coral,3,2,30,0.17,0.05,1.19,0.17,1.58
Dissolved_Coral,4,1,30,0.16,0.05,1.14,0.16,1.8
Dissolved_Coral,4,2,30,0.14,0.05,1.13,0.16,1.58
LiveFeeds,1,1,30,0.1,0.04,1.51,0.19,1.69
LiveFeeds,1,2,30,0.08,0.04,1.51,0.2,1.64
LiveFeeds,2,1,30,0.49,0.05,1.55,0.21,2.04
LiveFeeds,2,2,30,0.1,0.05,1.41,0.19,1.67
LiveFeeds,3,1,30,0.1,0.05,0.8,0.15,1.82
LiveFeeds,3,2,30,0.08,0.04,0.79,0.15,1.71
LiveFeeds,4,1,30,0.11,0.05,1.71,0.21,1.81
LiveFeeds,4,2,30,0.18,0.05,1.7,0.2,1.81
Fish,1,1,30,0.31,0.05,1.69,0.2,2.1
Fish,1,2,30,0.3,0.05,1.7,0.21,1.88
Fish,2,1,30,0.31,0.05,1.63,0.21,2.83
Fish,2,2,30,0.57,0.05,1.72,0.21,1.9
Fish,3,1,30,0.25,0.05,1.6,0.2,2.15
Fish,3,2,30,0.23,0.05,1.6,0.21,2.38
Fish,4,1,30,0.31,0.05,1.47,0.2,2.29
Fish,4,2,30,0.24,0.06,1.45,0.2,2.08
Control,1,1,30,0.09,0.06,1.45,0.2,1.81
Control,1,2,30,0.09,0.06,1.46,0.2,1.69
Control,2,1,30,0.23,0.04,1.33,0.2,1.68
Control,2,2,30,0.09,0.04,1.3,0.18,1.63
Control,3,1,30,0.1,0.04,1.16,0.17,1.69
Control,3,2,30,0.1,0.04,1.16,0.18,1.58
Control,4,1,30,0.22,0.04,1.09,0.17,1.9
Control,4,2,30,0.07,0.04,1.03,0.17,1.79
Dissolved_Fish,1,1,30,0.31,0.04,1.69,0.2,1.58
Dissolved_Fish,1,2,30,0.42,0.05,1.71,0.2,1.53
Dissolved_Fish,2,1,30,0.34,0.05,1.66,0.19,1.89
Dissolved_Fish,2,2,30,0.33,0.04,1.67,0.19,1.62
Dissolved_Fish,3,1,30,0.3,0.04,1.74,0.2,1.88
Dissolved_Fish,3,2,30,0.3,0.04,1.68,0.2,1.69
Dissolved_Fish,4,1,30,0.29,0.04,1.49,0.19,1.95
Dissolved_Fish,4,2,30,0.26,0.06,1.49,0.19,1.8
Mixed,1,1,38,0.74,0.04,1.67,0.2,1.05
Mixed,1,2,38,0.71,0.04,1.64,0.21,1.12
Mixed,2,1,38,0.64,0.04,1.68,0.2,1.06
Mixed,2,2,38,0.66,0.05,1.78,0.19,1.07
Mixed,3,1,38,0.64,0.04,1.55,0.18,1.09
Mixed,3,2,38,0.62,0.04,1.55,0.17,1.05
Mixed,4,1,38,0.6,0.03,1.52,0.17,1.09
Mixed,4,2,38,0.56,0.03,1.51,0.18,1.06
Pellets,1,1,38,0.2,0.04,1.43,0.2,1.1
Pellets,1,2,38,0.17,0.06,1.55,0.2,1.07
Pellets,2,1,38,0.17,0.05,1.3,0.2,1.16
Pellets,2,2,38,0.19,0.05,1.3,0.2,1.14
Pellets,3,1,38,0.18,0.05,1.43,0.18,1.11
Pellets,3,2,38,0.18,0.04,1.41,0.17,1.08
Pellets,4,1,38,0.2,0.03,0.78,0.15,1.13
Pellets,4,2,38,0.19,0.03,0.77,0.15,1.13
Dissolved_Coral,1,1,38,0.34,0.03,1,0.13,1.09
Dissolved_Coral,1,2,38,0.27,0.03,0.98,0.14,1.11
Dissolved_Coral,2,1,38,0.24,0.02,0.68,0.13,1.12
Dissolved_Coral,2,2,38,0.22,0.02,0.67,0.12,1.09
Dissolved_Coral,3,1,38,0.24,0.04,0.92,0.14,1.1
Dissolved_Coral,3,2,38,0.23,0.03,0.91,0.13,1.07
Dissolved_Coral,4,1,38,0.26,0.04,0.95,0.13,1.13
Dissolved_Coral,4,2,38,0.24,0.04,0.95,0.14,1.13
LiveFeeds,1,1,38,0.15,0.04,1.28,0.17,1.07
LiveFeeds,1,2,38,0.1,0.04,1.28,0.17,1.06
LiveFeeds,2,1,38,0.12,0.05,1.16,0.18,1.09
LiveFeeds,2,2,38,0.12,0.04,1.19,0.17,1.05
LiveFeeds,3,1,38,0.12,0.03,0.61,0.12,1.12
LiveFeeds,3,2,38,0.14,0.05,0.64,0.13,1.07
LiveFeeds,4,1,38,0.11,0.05,1.36,0.18,0.99
LiveFeeds,4,2,38,0.1,0.04,1.36,0.18,1.02
Fish,1,1,38,0.75,0.04,1.43,0.18,1.06
Fish,1,2,38,0.72,0.04,1.45,0.17,1.01
Fish,2,1,38,0.66,0.03,1.37,0.17,1.13
Fish,2,2,38,0.63,0.03,1.36,0.17,1.39
Fish,3,1,38,0.63,0.03,1.42,0.17,1.14
Fish,3,2,38,0.62,0.04,1.41,0.17,1.06
Fish,4,1,38,0.65,0.05,1.2,0.16,1.06
Fish,4,2,38,0.62,0.05,1.22,0.17,1.05
Control,1,1,38,0.2,0.05,0.97,0.16,1.03
Control,1,2,38,0.09,0.05,0.78,0.16,1.03
Control,2,1,38,0.1,0.03,0.9,0.16,1.09
Control,2,2,38,0.09,0.03,0.89,0.16,1.12
Control,3,1,38,0.1,0.03,0.79,0.14,1.03
Control,3,2,38,0.08,0.03,0.79,0.14,1.02
Control,4,1,38,0.1,0.02,0.75,0.15,1.14
Control,4,2,38,0.1,0.02,0.75,0.16,1.11
Dissolved_Fish,1,1,38,0.72,0.04,1.44,0.18,1.15
Dissolved_Fish,1,2,38,0.71,0.04,1.44,0.17,1.11
Dissolved_Fish,2,1,38,0.87,0.04,1.6,0.18,1.17
Dissolved_Fish,2,2,38,0.87,0.04,1.6,0.19,1.13
Dissolved_Fish,3,1,38,0.71,0.04,1.5,0.19,1.24
Dissolved_Fish,3,2,38,0.69,0.05,1.5,0.19,1.15
Dissolved_Fish,4,1,38,0.75,0.06,1.44,0.18,1.2
Dissolved_Fish,4,2,38,0.75,0.06,1.45,0.19,1.15
Mixed,1,1,45,0.41,0.05,1.11,0.15,0.93
Mixed,1,2,45,0.38,0.05,1.15,0.16,0.97
Mixed,2,1,45,0.33,0.05,0.99,0.15,0.96
Mixed,2,2,45,0.33,0.05,1.02,0.15,0.95
